Stock Price;Strike Price;Maturity;Dividends;Volatility;Risk free;Call Price
0.05;2090;03/31/17;0;0.281087;3544;140753.0
279.3;2095;03/31/17;0;0.285146;1;101230.0
0.05;2095;03/31/17;0;0.281087;592;116733.0
274.1;2100;03/31/17;0;0.285146;234;111925.0
0.05;2100;03/31/17;0;0.281087;43830;128965.0
269.5;2105;03/31/17;0;0.285146;0;110253.0
0.05;2105;03/31/17;0;0.281087;1316;136531.0
264.5;2110;03/31/17;0;0.285146;8;119540.0
0.05;2110;03/31/17;0;0.281087;4888;87281.0
259.5;2115;03/31/17;0;0.285146;1;78922.0
0.05;2115;03/31/17;0;0.281087;2801;129482.0
254.5;2120;03/31/17;0;0.285146;100;112115.0
0.05;2120;03/31/17;0;0.281087;3255;116103.0
249.5;2125;03/31/17;0;0.285146;57;115189.0
0.05;2125;03/31/17;0;0.281087;20706;110622.0
244.5;2130;03/31/17;0;0.285146;11;164374.0
0.05;2130;03/31/17;0;0.281087;7663;161608.0
239.5;2135;03/31/17;0;0.285146;17;131267.0
0.05;2135;03/31/17;0;0.281087;5313;106509.0
234.5;2140;03/31/17;0;0.285146;0;135074.0
0.05;2140;03/31/17;0;0.281087;9637;170076.0
229.5;2145;03/31/17;0;0.285146;50;229856.0
0.05;2145;03/31/17;0;0.281087;1632;91466.0
224.3;2150;03/31/17;0;0.285146;5745;71558.0
0.05;2150;03/31/17;0;0.281087;24252;76359.0
219.3;2155;03/31/17;0;0.285146;0;98032.0
0.05;2155;03/31/17;0;0.281087;6304;83108.0
214.5;2160;03/31/17;0;0.285146;23;72725.0
0.05;2160;03/31/17;0;0.281087;4755;60114.0
209.3;2165;03/31/17;0;0.285146;10;49716.0
0.05;2165;03/31/17;0;0.281087;4158;53746.0
204.5;2170;03/31/17;0;0.285146;75;60949.0
0.05;2170;03/31/17;0;0.281087;860;72218.0
199.5;2175;03/31/17;0;0.285146;7338;66950.0
0.05;2175;03/31/17;0;0.281087;18197;61352.0
194.5;2180;03/31/17;0;0.285146;54;65798.0
0.05;2180;03/31/17;0;0.281087;6381;48406.0
189.5;2185;03/31/17;0;0.285146;55;46307.0
0.05;2185;03/31/17;0;0.281087;8956;57859.0
184.3;2190;03/31/17;0;0.285146;27;65647.0
0.05;2190;03/31/17;0;0.281087;6732;76576.0
179.4;2195;03/31/17;0;0.285146;31;59025.0
0.05;2195;03/31/17;0;0.281087;11117;68609.0
174.6;2200;03/31/17;0;0.285146;959;48966.0
0.05;2200;03/31/17;0;0.281087;22603;46536.0
169.1;2205;03/31/17;0;0.285146;20;58517.0
0.05;2205;03/31/17;0;0.281087;687;74653.0
164.3;2210;03/31/17;0;0.285146;19;72900.0
0.1;2210;03/31/17;0;0.281087;13200;60531.0
159.3;2215;03/31/17;0;0.285146;46;58437.0
0.1;2215;03/31/17;0;0.281087;13210;51361.0
154.3;2220;03/31/17;0.000001;0.285146;66;69916.0
0.1;2220;03/31/17;0.000001;0.281087;6363;79076.0
149.3;2225;03/31/17;0.000002;0.285146;587;87162.0
0.1;2225;03/31/17;0.000001;0.281087;15928;79867.0
144.3;2230;03/31/17;0.000003;0.285146;207;65078.0
0.1;2230;03/31/17;0.000002;0.281087;19082;73993.0
139.3;2235;03/31/17;0.000006;0.285146;50;42890.0
0.1;2235;03/31/17;0.000004;0.281087;3137;58832.0
134.1;2240;03/31/17;0.00001;0.285146;174;67913.0
0.1;2240;03/31/17;0.000008;0.281087;8738;61837.0
129.3;2245;03/31/17;0.000017;0.285146;126;71880.0
0.1;2245;03/31/17;0.000014;0.281087;2416;75628.0
123;2250;03/31/17;0.000029;0.285146;2984;115020.0
0.1;2250;03/31/17;0.000024;0.281087;39217;55093.0
118.3;2255;03/31/17;0.000047;0.285146;158;55223.0
0.1;2255;03/31/17;0.000041;0.281087;11627;81939.0
113.4;2260;03/31/17;0.000077;0.285146;652;135955.0
0.1;2260;03/31/17;0.000067;0.281087;8019;90235.0
108.3;2265;03/31/17;0.000121;0.285146;1578;78807.0
0.1;2265;03/31/17;0.000108;0.281087;16377;69161.0
103.3;2270;03/31/17;0.000187;0.285146;831;73641.0
0.1;2270;03/31/17;0.000168;0.281087;10017;57637.0
98.3;2275;03/31/17;0.000282;0.285146;12793;83862.0
0.1;2275;03/31/17;0.000257;0.281087;27627;86573.0
93.1;2280;03/31/17;0.000416;0.285146;4059;78321.0
0.15;2280;03/31/17;0.000384;0.281087;7933;134709.0
88.3;2285;03/31/17;0.0006;0.285146;1947;107729.0
0.15;2285;03/31/17;0.000559;0.281087;4191;62137.0
83.3;2290;03/31/17;0.000846;0.285146;2216;73312.0
0.15;2290;03/31/17;0.000797;0.281087;8383;81664.0
78.1;2295;03/31/17;0.000881;0.265033;287;88942.0
0.2;2295;03/31/17;0.000918;0.267687;5326;77504.0
73.2;2300;03/31/17;0.000916;0.244921;7438;78939.0
0.2;2300;03/31/17;0.001069;0.254286;34741;94659.0
68.2;2305;03/31/17;0.000951;0.224808;2510;80363.0
0.2;2305;03/31/17;0.001258;0.240886;3138;62927.0
63.5;2310;03/31/17;0.000985;0.204695;713;99939.0
0.45;2310;03/31/17;0.001497;0.227486;14939;146808.0
58.5;2315;03/31/17;0.001013;0.184582;5839;94507.0
0.5;2315;03/31/17;0.001807;0.214085;10794;93104.0
52.9;2320;03/31/17;0.001033;0.164469;11040;99047.0
0.5;2320;03/31/17;0.002216;0.200685;20815;90260.0
44.5;2325;03/31/17;0.001036;0.144356;7257;84201.0
0.3;2325;03/31/17;0.002764;0.187284;22180;143160.0
41.3;2330;03/31/17;0.003937;0.183284;11509;136278.0
0.35;2330;03/31/17;0.003557;0.17472;15873;117121.0
38.3;2335;03/31/17;0.004786;0.164294;8914;121233.0
0.4;2335;03/31/17;0.004475;0.158584;17981;188629.0
31.1;2340;03/31/17;0.006003;0.145303;2953;232068.0
0.5;2340;03/31/17;0.00581;0.142448;9176;121234.0
24.8;2345;03/31/17;0.007845;0.126312;10060;151177.0
0.5;2345;03/31/17;0.007845;0.126312;8247;179705.0
19.9;2350;03/31/17;0.011401;0.113319;20535;123339.0
0.65;2350;03/31/17;0.011401;0.113319;18542;92574.0
16.3;2355;03/31/17;0.017344;0.109862;11233;99858.0
